epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
73,537.626,0.1182,0.97183,1,1.21174,0.000205061,0.000205061,0.000205061
74,544.742,0.11392,0.97183,1,1.21106,0.000197992,0.000197992,0.000197992
75,552.37,0.14903,0.95775,1,1.21206,0.000190924,0.000190924,0.000190924
76,559.389,0.19163,0.97183,0.98592,1.21209,0.000183855,0.000183855,0.000183855
77,567.175,0.16143,0.97183,0.98592,1.20814,0.000176786,0.000176786,0.000176786
78,574.113,0.12665,0.97183,0.98592,1.23481,0.000169718,0.000169718,0.000169718
79,581.166,0.14592,0.95775,0.98592,1.21612,0.000162649,0.000162649,0.000162649
80,587.475,0.12681,0.95775,1,1.20877,0.000155581,0.000155581,0.000155581
81,594.061,0.23585,0.95775,0.98592,1.20803,0.000148512,0.000148512,0.000148512
82,600.458,0.12275,0.95775,0.98592,1.21232,0.000141443,0.000141443,0.000141443
83,607.03,0.14143,0.95775,1,1.21958,0.000134375,0.000134375,0.000134375
84,613.461,0.11129,0.97183,0.98592,1.21251,0.000127306,0.000127306,0.000127306
85,619.799,0.08589,0.94366,0.98592,1.21974,0.000120238,0.000120238,0.000120238
86,626.304,0.1293,0.95775,0.98592,1.20812,0.000113169,0.000113169,0.000113169
87,632.677,0.14744,0.94366,0.98592,1.21328,0.0001061,0.0001061,0.0001061
88,639.288,0.11624,0.95775,0.98592,1.21351,9.90318e-05,9.90318e-05,9.90318e-05
89,645.708,0.13948,0.95775,0.98592,1.20975,9.19632e-05,9.19632e-05,9.19632e-05
90,652.261,0.19417,0.95775,0.98592,1.21081,8.48946e-05,8.48946e-05,8.48946e-05
91,658.635,0.10262,0.95775,0.98592,1.20958,7.7826e-05,7.7826e-05,7.7826e-05
92,664.976,0.13254,0.95775,0.98592,1.21189,7.07574e-05,7.07574e-05,7.07574e-05
93,672.144,0.07211,0.95775,0.98592,1.20718,6.36888e-05,6.36888e-05,6.36888e-05
94,678.444,0.10332,0.94366,0.98592,1.2119,5.66202e-05,5.66202e-05,5.66202e-05
