epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,2293.28,0.57582,0.63948,0.81388,0.83908,0.74369,0.7261,0.7692,0.66211,0.74369,0.7261,0.7692,0.65872,0.60031,0.89793,1.4645,0.87369,0.000928225,0.000928225,0.000928225
31,2368.36,0.58805,0.6575,0.79599,0.83636,0.6626,0.64812,0.66671,0.57108,0.6626,0.64812,0.66671,0.58449,0.65166,0.90336,1.69073,0.88401,0.00092575,0.00092575,0.00092575
32,2444.25,0.57999,0.65784,0.79061,0.83984,0.72016,0.68397,0.72358,0.6155,0.72016,0.68397,0.72338,0.60862,0.62485,0.96661,1.34249,0.8796,0.000923275,0.000923275,0.000923275
33,2519.64,0.55989,0.62647,0.79166,0.83965,0.6684,0.7111,0.73156,0.62565,0.6684,0.7111,0.73143,0.61178,0.59549,0.96862,1.27042,0.87453,0.0009208,0.0009208,0.0009208
34,2595.54,0.58087,0.64485,0.7877,0.8394,0.72444,0.69288,0.76379,0.65118,0.72444,0.69288,0.76379,0.65225,0.598,0.9023,1.25727,0.87543,0.000918325,0.000918325,0.000918325
35,2671.35,0.5679,0.63783,0.74998,0.82915,0.76092,0.72636,0.78413,0.67119,0.76092,0.72636,0.78413,0.66732,0.6124,0.90815,1.16773,0.8794,0.00091585,0.00091585,0.00091585
36,2747.08,0.60753,0.66707,0.79272,0.84242,0.81652,0.81751,0.86091,0.7244,0.81652,0.81751,0.86091,0.73223,0.63926,0.88937,1.00127,0.88855,0.000913375,0.000913375,0.000913375
37,2822.74,0.59101,0.64933,0.77193,0.83813,0.78559,0.76728,0.8315,0.71395,0.78559,0.76728,0.8315,0.70965,0.58054,0.89341,1.14627,0.87359,0.0009109,0.0009109,0.0009109
38,2898.76,0.61233,0.68579,0.74523,0.83899,0.72626,0.72406,0.74077,0.64343,0.72626,0.72406,0.74077,0.63752,0.59922,0.91195,1.63248,0.87695,0.000908425,0.000908425,0.000908425
39,2974.38,0.59118,0.65846,0.74628,0.83986,0.70533,0.71666,0.73771,0.63162,0.70533,0.71666,0.73771,0.64246,0.61492,0.90742,1.4414,0.87635,0.00090595,0.00090595,0.00090595
40,3050.14,0.55694,0.61255,0.70142,0.82655,0.70836,0.79019,0.85366,0.72977,0.70836,0.79019,0.85366,0.72436,0.57984,0.89661,1.02802,0.87532,0.000903475,0.000903475,0.000903475
41,3125.84,0.57549,0.66368,0.73509,0.83262,0.70566,0.73124,0.78458,0.66723,0.70566,0.73124,0.78458,0.66808,0.60989,0.88591,1.14043,0.87776,0.000901,0.000901,0.000901
42,3201.45,0.56044,0.62009,0.68889,0.83553,0.74443,0.63963,0.69811,0.60627,0.74443,0.63963,0.69811,0.60918,0.59096,0.88832,1.90345,0.87387,0.000898525,0.000898525,0.000898525
43,3276.84,0.56061,0.61548,0.7138,0.83357,0.73752,0.59348,0.62875,0.54623,0.73752,0.59348,0.62887,0.54321,0.58179,0.87984,1.74013,0.87269,0.00089605,0.00089605,0.00089605
44,3352.45,0.53945,0.61155,0.6843,0.8304,0.65207,0.61439,0.6534,0.56071,0.65207,0.61439,0.6535,0.56096,0.57403,0.88472,1.52294,0.87529,0.000893575,0.000893575,0.000893575
45,3426.93,0.56673,0.61507,0.79675,0.8356,0.6972,0.73533,0.7922,0.67691,0.6972,0.73533,0.7922,0.66823,0.58125,0.88027,1.14337,0.87588,0.0008911,0.0008911,0.0008911
46,3501.38,0.58229,0.63108,0.72196,0.84442,0.65135,0.66381,0.75585,0.63987,0.65135,0.66381,0.75585,0.64541,0.61919,0.89639,1.46001,0.8856,0.000888625,0.000888625,0.000888625
47,3575.78,0.59093,0.64064,0.69031,0.83824,0.7811,0.79326,0.85393,0.72824,0.7811,0.79326,0.85393,0.71867,0.60637,0.9123,1.13367,0.87885,0.00088615,0.00088615,0.00088615
48,3650.79,0.57421,0.59722,0.69883,0.83733,0.75599,0.7895,0.84156,0.72167,0.75599,0.7895,0.84156,0.72055,0.58694,0.86341,1.08955,0.87834,0.000883675,0.000883675,0.000883675
49,3725.36,0.57482,0.62312,0.66984,0.83497,0.74511,0.73806,0.78921,0.67589,0.74511,0.73806,0.78921,0.6771,0.58046,0.87353,1.18692,0.87417,0.0008812,0.0008812,0.0008812
50,3800,0.55032,0.62191,0.65976,0.83224,0.7483,0.73222,0.79682,0.67743,0.7483,0.73222,0.79682,0.6845,0.6139,0.85418,1.17893,0.8787,0.000878725,0.000878725,0.000878725
51,3874.28,0.5687,0.62325,0.65279,0.83214,0.69057,0.66554,0.73673,0.62797,0.69057,0.66554,0.73673,0.63348,0.59396,0.86834,1.38602,0.87474,0.00087625,0.00087625,0.00087625
52,3948.82,0.5564,0.60329,0.65189,0.83687,0.69899,0.72769,0.7689,0.6542,0.69899,0.72769,0.7689,0.66241,0.60916,0.87116,1.37831,0.87836,0.000873775,0.000873775,0.000873775
53,4023.59,0.54864,0.62735,0.63967,0.83073,0.69553,0.67902,0.73565,0.63011,0.69553,0.67902,0.73565,0.63325,0.57819,0.88453,1.54333,0.87202,0.0008713,0.0008713,0.0008713
54,4101.7,0.54224,0.62194,0.61578,0.83051,0.66773,0.65039,0.74609,0.63221,0.66773,0.65039,0.74609,0.64204,0.58476,0.89648,1.45072,0.87389,0.000868825,0.000868825,0.000868825
55,4179.08,0.53717,0.5928,0.61332,0.81428,0.70923,0.7818,0.85279,0.73018,0.70923,0.7818,0.85279,0.73149,0.57653,0.88509,1.03298,0.87102,0.00086635,0.00086635,0.00086635
56,4253.34,0.54817,0.60831,0.61431,0.83105,0.72114,0.76943,0.83991,0.72111,0.72114,0.76943,0.83991,0.72529,0.58331,0.85791,1.26317,0.87472,0.000863875,0.000863875,0.000863875
57,4328.25,0.57354,0.60866,0.64943,0.82437,0.73763,0.63951,0.79002,0.67863,0.73763,0.63951,0.79002,0.67957,0.59872,0.88525,1.52475,0.87822,0.0008614,0.0008614,0.0008614
58,4403.33,0.5565,0.60906,0.6341,0.83568,0.69653,0.69363,0.76099,0.64586,0.69653,0.69363,0.76099,0.65679,0.60914,0.86645,1.46683,0.88126,0.000858925,0.000858925,0.000858925
59,4478.27,0.55276,0.61333,0.63587,0.8285,0.70983,0.75097,0.8093,0.68543,0.70983,0.75097,0.8093,0.69374,0.61623,0.87543,1.25799,0.88268,0.00085645,0.00085645,0.00085645
60,4553.48,0.54846,0.60514,0.59509,0.83266,0.73441,0.79175,0.85208,0.72096,0.73441,0.79175,0.85208,0.72709,0.59127,0.85448,1.05356,0.87559,0.000853975,0.000853975,0.000853975
61,4629.57,0.54078,0.60046,0.57602,0.83302,0.80141,0.8521,0.87514,0.75417,0.80141,0.8521,0.87514,0.75001,0.5754,0.85821,0.82762,0.87337,0.0008515,0.0008515,0.0008515
62,4705.21,0.52866,0.60487,0.57119,0.83197,0.75175,0.88291,0.87487,0.75697,0.75175,0.88291,0.87487,0.74954,0.55705,0.87883,0.84512,0.86916,0.000849025,0.000849025,0.000849025
63,4780.01,0.50247,0.58281,0.56873,0.82233,0.79521,0.86319,0.91307,0.78552,0.79521,0.86319,0.91307,0.78504,0.56189,0.866,0.80896,0.86874,0.00084655,0.00084655,0.00084655
64,4854.62,0.53552,0.60639,0.5941,0.82687,0.73602,0.80928,0.87383,0.75048,0.73602,0.80928,0.87383,0.74736,0.57626,0.87159,1.04378,0.87259,0.000844075,0.000844075,0.000844075
65,4929.73,0.53764,0.60062,0.57945,0.82056,0.60527,0.70174,0.75863,0.64539,0.60527,0.70174,0.75863,0.64616,0.60694,0.89467,1.38598,0.87658,0.0008416,0.0008416,0.0008416
66,5003.78,0.54822,0.60422,0.58427,0.833,0.66171,0.68105,0.74747,0.63275,0.66171,0.68105,0.74747,0.64296,0.60052,0.90637,1.55792,0.88257,0.000839125,0.000839125,0.000839125
67,5077.83,0.53798,0.61493,0.59034,0.82833,0.67543,0.67904,0.73208,0.6267,0.67543,0.67904,0.73208,0.62932,0.58964,0.88114,1.54838,0.87566,0.00083665,0.00083665,0.00083665
68,5152.46,0.52789,0.58676,0.57264,0.82743,0.78908,0.66836,0.76444,0.65115,0.78908,0.66836,0.76444,0.66827,0.61718,0.87312,1.39479,0.88344,0.000834175,0.000834175,0.000834175
69,5227.65,0.53589,0.62194,0.57315,0.82741,0.70991,0.79057,0.81563,0.7011,0.70991,0.79057,0.81563,0.70216,0.58431,0.8933,1.03012,0.87594,0.0008317,0.0008317,0.0008317
70,5302.26,0.52147,0.56705,0.56691,0.82727,0.6875,0.66404,0.74037,0.63932,0.6875,0.66404,0.74037,0.62996,0.584,0.89646,1.39745,0.87493,0.000829225,0.000829225,0.000829225
71,5377.4,0.52348,0.57299,0.54169,0.82461,0.71651,0.75061,0.81244,0.68835,0.71651,0.75061,0.81244,0.70725,0.64312,0.87696,1.16995,0.88789,0.00082675,0.00082675,0.00082675
72,5451.85,0.53756,0.61473,0.55518,0.82425,0.71274,0.7687,0.8441,0.72852,0.71274,0.7687,0.8441,0.73375,0.58285,0.87414,1.01362,0.87282,0.000824275,0.000824275,0.000824275
73,5525.85,0.51057,0.59653,0.57988,0.82838,0.71033,0.77871,0.85828,0.74145,0.71033,0.77871,0.85828,0.73895,0.57499,0.90226,1.07003,0.87114,0.0008218,0.0008218,0.0008218
74,5600.81,0.50773,0.5854,0.54047,0.82286,0.71785,0.67665,0.77117,0.67372,0.71785,0.67665,0.77117,0.66374,0.55947,0.92649,1.49216,0.86821,0.000819325,0.000819325,0.000819325
75,5674.88,0.51307,0.57103,0.55363,0.83456,0.73601,0.59071,0.68962,0.59521,0.73601,0.59071,0.68962,0.59849,0.58971,0.91294,1.79042,0.87811,0.00081685,0.00081685,0.00081685
76,5749.8,0.5209,0.56694,0.56063,0.82579,0.7581,0.75331,0.83195,0.72544,0.7581,0.75331,0.83195,0.71404,0.55281,0.93345,1.27813,0.86964,0.000814375,0.000814375,0.000814375
77,5824.05,0.52096,0.5825,0.54535,0.83129,0.76201,0.82179,0.88032,0.75388,0.76201,0.82179,0.88032,0.76106,0.57681,0.90755,0.90729,0.87328,0.0008119,0.0008119,0.0008119
78,5898.89,0.51996,0.58434,0.54165,0.8321,0.74235,0.82655,0.85418,0.73779,0.74235,0.82655,0.85418,0.73383,0.55915,0.91663,0.95736,0.86661,0.000809425,0.000809425,0.000809425
79,5973.37,0.52499,0.58345,0.5211,0.83108,0.79488,0.79782,0.8244,0.70429,0.79488,0.79782,0.8244,0.70903,0.59366,0.9714,1.03153,0.87876,0.00080695,0.00080695,0.00080695
80,6047.71,0.51379,0.59864,0.53185,0.82059,0.77645,0.75182,0.78439,0.6698,0.77645,0.75182,0.78439,0.67964,0.60073,0.89989,1.20935,0.88078,0.000804475,0.000804475,0.000804475
81,6121.33,0.5036,0.54814,0.52655,0.8267,0.76662,0.73424,0.77626,0.66657,0.76662,0.73424,0.77626,0.65238,0.60021,0.93643,1.42214,0.88501,0.000802,0.000802,0.000802
82,6196.14,0.53515,0.58449,0.53945,0.82511,0.747,0.83171,0.84355,0.72669,0.747,0.83171,0.84355,0.71896,0.58513,0.90456,1.19675,0.87531,0.000799525,0.000799525,0.000799525
83,6270.62,0.51176,0.55456,0.52624,0.82263,0.85351,0.84406,0.89924,0.76435,0.85351,0.84406,0.89924,0.76581,0.59651,0.86609,0.76671,0.87741,0.00079705,0.00079705,0.00079705
