                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.80306,                 1.3644,                 3.9111,                0.90944,                0.00399,                0.24425,                0.00734,                0.00444,                0.00423,                0.26058,                0.00742,                0.00511,                0.58571,                 1.0353,                 3.8528,                0.87059,                0.00015,                0.00015,                0.00015
                      2,                0.74207,                0.90675,                 3.1934,                 0.8543,                0.03039,                0.79943,                0.15281,                0.11946,                0.03089,                0.80538,                0.15517,                0.12247,                0.75055,                 1.1715,                 3.5528,                0.83771,             0.00030693,             0.00030693,             0.00030693
                      3,                0.78045,                0.89356,                 2.6577,                0.86643,                0.02966,                0.94968,                0.19598,                0.14324,                0.02998,                0.95772,                0.19691,                0.16122,                  0.763,                 1.0615,                 3.4986,                0.84517,             0.00046069,             0.00046069,             0.00046069
                      4,                0.76873,                0.81204,                  2.182,                0.86339,                0.02907,                0.95743,                0.20417,                0.16265,                0.02986,                0.97381,                0.20562,                0.15342,                0.73644,                 1.3339,                 3.3834,                0.82731,             0.00061129,             0.00061129,             0.00061129
                      5,                0.76215,                0.78934,                 1.8411,                0.86933,                0.02706,                0.96159,                0.20495,                0.15851,                0.02707,                 0.9598,                0.20654,                0.15603,                0.78648,                 1.2664,                 3.3362,                0.84561,             0.00075872,             0.00075872,             0.00075872
                      6,                0.76018,                0.80181,                 1.7178,                0.88153,                0.02582,                0.91186,                 0.2326,                0.18264,                0.02619,                0.92944,                0.23486,                0.19623,                0.76483,                 1.0467,                   3.26,                0.85595,             0.00090298,             0.00090298,             0.00090298
                      7,                0.69483,                 0.7577,                 1.5794,                0.86989,                0.70352,                0.25045,                0.32453,                0.25333,                0.70352,                0.25045,                0.32543,                0.27233,                0.82337,                 1.0609,                 3.0922,                0.88886,              0.0009406,              0.0009406,              0.0009406
                      8,                0.75724,                0.74691,                 1.5183,                0.87229,                0.71301,                0.11251,                0.42072,                0.34097,                0.71301,                0.11251,                0.42074,                0.35083,                0.76279,                   1.05,                 2.9671,                0.88528,              0.0009307,              0.0009307,              0.0009307
                      9,                 0.6565,                0.73149,                 1.5269,                0.86557,                0.64381,                0.22544,                0.45114,                0.36828,                0.64381,                0.22544,                0.45185,                 0.3746,                0.73313,                 1.0697,                  2.659,                0.89889,              0.0009208,              0.0009208,              0.0009208
                     10,                0.68431,                0.75923,                 1.4179,                0.87049,                0.50833,                0.34419,                0.44137,                0.36144,                0.50833,                0.34419,                0.44234,                0.37223,                0.69226,                 1.0116,                 2.4346,                0.89202,              0.0009109,              0.0009109,              0.0009109
                     11,                0.69238,                0.73352,                 1.3132,                0.85501,                0.54893,                0.57869,                0.53519,                0.43699,                0.54893,                0.57869,                0.53517,                0.45156,                0.71212,                 1.0311,                 2.1061,                0.90794,               0.000901,               0.000901,               0.000901
                     12,                0.66879,                0.70091,                 1.2592,                 0.8593,                0.55776,                0.65172,                0.61756,                 0.5036,                0.55776,                0.65172,                0.61756,                0.50972,                0.68909,                 1.0407,                 1.7801,                0.93049,              0.0008911,              0.0008911,              0.0008911
