                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.76355,                 1.0628,                 3.7285,                0.87718,                0.04666,                0.96744,                0.20022,                0.15669,                0.04708,                0.97132,                0.20154,                0.16014,                0.83076,                 1.3128,                 3.4036,                0.86089,             0.00032639,             0.00032639,             0.00032639
                      2,                0.78742,                 0.8244,                 3.0943,                0.85505,                0.02775,                0.98391,                0.21902,                 0.1571,                0.02729,                0.97229,                0.21925,                0.16716,                0.93837,                  1.856,                 3.0786,                0.90492,             0.00065319,             0.00065319,             0.00065319
                      3,                0.80093,                0.80117,                 2.6048,                0.86474,                 0.4149,                 0.2455,                0.26484,                  0.197,                 0.4149,                 0.2455,                0.26313,                0.20422,                  0.971,                 1.7027,                 2.7314,                0.94662,             0.00097339,             0.00097339,             0.00097339
                      4,                0.87601,                0.79511,                 2.2786,                0.88726,                0.27601,                0.74629,                0.29946,                0.21062,                0.27601,                0.74629,                0.29946,                 0.2274,                0.92193,                 1.6063,                  2.292,                0.97296,              0.0009703,              0.0009703,              0.0009703
                      5,                0.78807,                0.74787,                 2.0072,                0.87537,                0.39136,                0.59157,                0.38577,                0.29702,                0.39136,                0.59157,                0.38577,                0.30097,                0.86215,                 1.3557,                  2.183,                0.94401,              0.0009604,              0.0009604,              0.0009604
                      6,                 0.7276,                0.77642,                 1.8875,                0.86834,                0.45496,                0.63206,                 0.4352,                0.34135,                0.45496,                0.63206,                 0.4352,                0.33831,                0.80052,                 1.3947,                  2.322,                0.94027,              0.0009505,              0.0009505,              0.0009505
                      7,                 0.7353,                0.79549,                 1.7659,                0.87643,                0.42151,                 0.5824,                0.45428,                0.35418,                0.42258,                0.58628,                0.45507,                 0.3394,                0.79448,                 1.5058,                 2.0083,                0.93978,              0.0009406,              0.0009406,              0.0009406
                      8,                0.67904,                0.70665,                  1.666,                0.86377,                0.46069,                0.57777,                0.41388,                0.31419,                0.46069,                0.57777,                0.41366,                0.31517,                0.84929,                 1.4141,                 2.1589,                0.95902,              0.0009307,              0.0009307,              0.0009307
                      9,                0.63668,                 0.6672,                 1.6596,                0.85055,                0.68687,                0.30585,                0.46448,                0.35945,                0.68687,                0.30585,                0.46469,                0.35772,                 0.8095,                 1.3776,                 1.9872,                0.95789,              0.0009208,              0.0009208,              0.0009208
                     10,                0.63188,                0.65859,                 1.5071,                0.85665,                0.53248,                0.64689,                0.52555,                0.41018,                0.53248,                0.64689,                0.52555,                0.41624,                0.80655,                 1.2919,                 1.9349,                0.94805,              0.0009109,              0.0009109,              0.0009109
                     11,                0.61827,                 0.6459,                 1.4899,                0.85132,                0.56562,                0.60018,                0.56577,                0.44912,                0.56562,                0.60018,                0.56342,                0.45012,                0.77419,                 1.3769,                 1.8667,                0.94323,               0.000901,               0.000901,               0.000901
                     12,                0.62418,                  0.639,                 1.3801,                 0.8424,                0.53801,                0.66791,                0.54003,                 0.4308,                0.53801,                0.66791,                0.54005,                0.43506,                0.74758,                 1.2215,                 1.8996,                0.94287,              0.0008911,              0.0008911,              0.0008911
                     13,                0.59622,                0.62464,                 1.3143,                0.83945,                0.66749,                0.58007,                0.63107,                0.50602,                0.66749,                0.58007,                0.63179,                0.50597,                0.75115,                 1.1989,                 1.7058,                0.94652,              0.0008812,              0.0008812,              0.0008812
                     14,                0.60967,                0.64712,                 1.2454,                0.84571,                0.67644,                0.66737,                0.64728,                0.52328,                0.67644,                0.66737,                0.64728,                0.51098,                0.75315,                  1.224,                 1.6033,                0.94027,              0.0008713,              0.0008713,              0.0008713
                     15,                0.59941,                0.64344,                 1.2614,                0.83993,                0.70209,                0.61763,                0.61974,                0.49738,                0.70209,                0.61763,                0.62388,                 0.4908,                0.76967,                 1.2536,                 1.8632,                0.94389,              0.0008614,              0.0008614,              0.0008614
                     16,                0.60397,                0.60148,                 1.2485,                0.84042,                0.68161,                0.66847,                0.64647,                0.51576,                0.68161,                0.66847,                0.64649,                0.50273,                 0.7701,                 1.2827,                 1.5859,                0.93952,              0.0008515,              0.0008515,              0.0008515
                     17,                0.59527,                0.60795,                 1.1545,                0.83692,                 0.6463,                0.59876,                 0.6289,                0.50386,                 0.6463,                0.59876,                 0.6289,                0.49296,                0.79061,                 1.3339,                 1.6263,                0.94939,              0.0008416,              0.0008416,              0.0008416
                     18,                 0.5863,                0.59543,                 1.1166,                0.84015,                0.71346,                 0.6239,                0.68139,                0.54948,                0.71346,                 0.6239,                0.68139,                0.54148,                0.76996,                 1.3336,                 1.5214,                0.94513,              0.0008317,              0.0008317,              0.0008317
                     19,                0.59538,                0.61782,                 1.0792,                0.84635,                0.78172,                0.53064,                0.68705,                0.56337,                0.78172,                0.53064,                0.68705,                 0.5382,                0.71003,                 1.3425,                  1.565,                0.92583,              0.0008218,              0.0008218,              0.0008218
                     20,                0.58532,                0.63103,                 1.0639,                 0.8393,                0.76311,                 0.6738,                0.73012,                0.59899,                0.76311,                 0.6738,                0.73012,                0.56387,                0.72813,                 1.3595,                 1.5465,                0.93099,              0.0008119,              0.0008119,              0.0008119
                     21,                0.60445,                 0.6161,                 1.0473,                0.83572,                0.68044,                0.63915,                0.65452,                0.53246,                0.68044,                0.63915,                 0.6546,                0.49473,                0.71448,                 1.3023,                 1.6722,                0.93598,               0.000802,               0.000802,               0.000802
                     22,                 0.5644,                0.58252,                 1.0166,                0.83526,                0.71137,                0.71281,                0.71867,                0.59584,                0.71137,                0.71281,                0.71867,                0.58025,                0.69894,                 1.1748,                 1.4522,                0.92977,              0.0007921,              0.0007921,              0.0007921
                     23,                0.56845,                0.59165,                 1.0144,                 0.8414,                0.49607,                0.76712,                0.68889,                0.56322,                0.49607,                0.76712,                0.68889,                0.54993,                0.72714,                 1.1778,                 1.4906,                0.93877,              0.0007822,              0.0007822,              0.0007822
                     24,                0.56339,                0.60795,                0.99156,                0.83011,                0.70761,                0.62997,                0.64391,                0.51425,                0.70761,                0.62997,                0.64391,                 0.5139,                0.73062,                 1.2024,                 1.5856,                0.94314,              0.0007723,              0.0007723,              0.0007723
                     25,                0.56254,                 0.6147,                0.91437,                 0.8349,                0.76075,                0.73322,                0.70442,                0.57064,                0.76075,                0.73322,                0.70442,                0.56667,                0.73371,                 1.1929,                 1.4487,                 0.9428,              0.0007624,              0.0007624,              0.0007624
                     26,                 0.5688,                0.60152,                 0.8926,                0.83689,                0.75521,                0.59798,                0.69278,                0.56472,                0.75521,                0.59798,                0.69285,                0.55954,                0.70041,                  1.173,                  1.612,                0.93157,              0.0007525,              0.0007525,              0.0007525
                     27,                0.58589,                0.59561,                0.90199,                0.83944,                0.76133,                0.54983,                0.66165,                0.53904,                0.76133,                0.54983,                0.66237,                0.53108,                0.72054,                 1.2018,                 1.7279,                0.94694,              0.0007426,              0.0007426,              0.0007426
                     28,                0.55967,                0.56743,                0.85702,                 0.8257,                0.56113,                0.71938,                 0.6955,                0.57515,                0.56113,                0.71938,                 0.6955,                0.55413,                0.69881,                 1.2456,                 1.5889,                 0.9386,              0.0007327,              0.0007327,              0.0007327
                     29,                0.53404,                0.57182,                0.83369,                0.83377,                 0.7954,                0.60277,                0.69089,                0.57172,                 0.7954,                0.60277,                0.69093,                0.55008,                0.69486,                 1.3251,                 1.4681,                0.93646,              0.0007228,              0.0007228,              0.0007228
                     30,                0.55566,                0.56512,                0.84339,                0.83116,                0.75372,                0.68993,                0.71629,                0.59101,                0.75372,                0.68993,                0.71629,                0.57172,                0.69401,                 1.3327,                 1.4591,                 0.9327,              0.0007129,              0.0007129,              0.0007129
                     31,                0.55126,                0.58688,                0.78815,                0.83139,                0.73754,                0.66703,                0.70851,                0.57734,                0.73754,                0.66703,                0.70851,                0.56132,                0.71092,                 1.3573,                 1.5143,                0.94435,               0.000703,               0.000703,               0.000703
                     32,                0.55776,                0.58662,                0.76935,                0.82883,                0.60328,                0.65672,                0.65195,                0.52997,                0.60328,                0.65672,                0.65225,                0.51028,                0.71358,                  1.395,                  1.719,                0.95423,              0.0006931,              0.0006931,              0.0006931
                     33,                 0.5599,                0.59661,                0.80789,                0.83115,                0.64812,                0.70659,                0.71501,                 0.5866,                0.65303,                0.70998,                0.71798,                0.56365,                0.71444,                 1.3989,                 1.4077,                0.94907,              0.0006832,              0.0006832,              0.0006832
                     34,                0.54287,                0.58157,                 0.7452,                0.83381,                0.61187,                 0.7155,                0.74626,                0.60796,                0.61187,                 0.7155,                0.74521,                0.58248,                0.69784,                 1.3681,                 1.4862,                0.94264,              0.0006733,              0.0006733,              0.0006733
                     35,                0.53928,                0.58043,                0.78103,                0.83793,                0.53308,                0.72686,                0.71362,                0.58497,                0.53308,                0.72686,                0.71362,                0.56198,                0.68755,                 1.3258,                 1.5433,                0.95809,              0.0006634,              0.0006634,              0.0006634
                     36,                0.52804,                0.56728,                0.72863,                0.83015,                0.57689,                0.75862,                0.73908,                0.59254,                0.57689,                0.75862,                0.73908,                0.58067,                0.76274,                 1.2476,                 1.3341,                0.99416,              0.0006535,              0.0006535,              0.0006535
