                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.58646,                0.67148,                0.95489,                0.84501,                0.71155,                0.79549,                0.76381,                0.62279,                0.71155,                0.79549,                0.76332,                0.61153,                0.72548,                 1.3002,                 1.2905,                0.99207,              0.0007624,              0.0007624,              0.0007624
                     26,                0.59672,                0.63002,                0.90255,                0.84093,                0.73648,                0.74688,                0.77702,                0.63066,                0.73003,                0.74235,                0.77125,                0.61256,                0.71337,                 1.3317,                 1.3158,                 1.0002,              0.0007525,              0.0007525,              0.0007525
                     27,                0.59083,                0.61336,                0.89372,                0.84677,                  0.795,                0.73437,                0.78273,                0.63985,                  0.795,                0.73437,                0.78303,                0.63099,                0.73158,                 1.3293,                 1.2197,                 1.0129,              0.0007426,              0.0007426,              0.0007426
                     28,                0.55996 ,                0.58487,                 0.8755,                0.83574,                0.75176,                0.79982,                0.81916,                0.66047,                0.74629,                0.79611,                0.81524,                 0.6605,                0.75962,                 1.3009,                 1.1921,                 1.0286,              0.0007327,              0.0007327,              0.0007327
                     29,                0.53769,                0.58239,                0.83156,                0.83906,                0.74018,                0.80752,                0.81583,                0.66148,                0.73561,                0.80459,                0.81238,                0.64259,                0.74425,                 1.2826,                 1.1944,                 1.0147,              0.0007228,              0.0007228,              0.0007228
                     30,                0.54529,                0.56802,                0.84363,                0.82993,                 0.7111,                0.78765,                0.80423,                0.64516,                0.70004,                0.78987,                 0.8005,                0.64002,                0.72397,                 1.3104,                 1.2144,                0.99663,              0.0007129,              0.0007129,              0.0007129
                     31,                0.55205,                0.58264,                0.78952,                0.83011,                0.69355,                0.78901,                0.78291,                0.62472,                0.69355,                0.78901,                0.78311,                0.61586,                0.73985,                  1.281,                 1.2417,                 1.0035,               0.000703,               0.000703,               0.000703
                     32,                0.57707,                0.59434,                0.80866,                0.83518,                0.71017,                0.81187,                0.80973,                0.65798,                 0.7155,                0.81575,                0.81662,                0.64688,                0.73599,                 1.3184,                  1.097,                 1.0082,              0.0006931,              0.0006931,              0.0006931
                     33,                0.55697,                0.58762,                0.79383,                0.83352,                0.67447,                0.78555,                0.78888,                0.64368,                0.67854,                0.78921,                0.79596,                0.63771,                0.73229,                 1.2355,                 1.1929,                0.99897,              0.0006832,              0.0006832,              0.0006832
                     34,                0.54463,                0.58174,                0.74052,                0.83663,                 0.7039,                0.77004,                0.78406,                0.64229,                0.70795,                0.77392,                0.79136,                0.62893,                0.72088,                 1.2617,                 1.3531,                0.98993,              0.0006733,              0.0006733,              0.0006733
                     35,                0.51984,                0.57769,                0.76049,                0.83313,                0.70942,                0.75654,                0.79828,                0.65058,                0.70942,                0.75654,                0.79793,                0.63609,                0.71416,                  1.256,                 1.2271,                0.98731,              0.0006634,              0.0006634,              0.0006634
                     36,                0.52121,                0.57386,                0.74008,                0.82725,                0.72953,                0.80227,                0.83055,                0.68217,                0.72953,                0.80227,                0.83055,                0.67132,                0.70803,                 1.2218,                 1.0768,                0.98869,              0.0006535,              0.0006535,              0.0006535
                     37,                0.53257,                0.58901,                0.75593,                0.83355,                0.70172,                0.78312,                0.80569,                0.66283,                0.70172,                0.78312,                0.80565,                0.65062,                0.72038,                 1.2612,                 1.1885,                0.99173,              0.0006436,              0.0006436,              0.0006436
                     38,                0.52514,                0.56599,                0.72776,                0.83476,                0.70308,                0.80227,                0.82256,                0.67256,                0.70308,                0.80227,                0.82256,                0.67275,                0.71402,                 1.1758,                 1.2052,                0.97641,              0.0006337,              0.0006337,              0.0006337
                     39,                 0.5193,                0.58863,                0.71287,                0.82822,                0.70269,                0.75658,                0.81735,                0.67557,                0.70269,                0.75658,                0.81735,                0.66489,                  0.682,                 1.1547,                 1.1266,                0.96509,              0.0006238,              0.0006238,              0.0006238
                     40,                 0.5097,                0.54417,                0.72379,                0.82628,                0.70831,                0.74741,                0.79865,                0.65211,                0.70831,                0.74741,                0.79865,                0.63342,                0.69769,                 1.2687,                 1.2503,                0.98956,              0.0006139,              0.0006139,              0.0006139
                     41,                0.50509,                0.54118,                0.73293,                  0.827,                0.72784,                0.82863,                0.84651,                0.69346,                0.72784,                0.82863,                0.84914,                0.67765,                0.69815,                 1.2251,                 1.0034,                0.98818,               0.000604,               0.000604,               0.000604
